-122.771,40.786,Ackerman,NF,530.275.1587/530.226.2500, , ,66,1923,NH DP 40ft FT DW NS NR ,CA,6.3,N,Lewiston,,
-120.798,38.177,Acorn - New Hogan Lake,COE,209.772.1343,all year, , , ,NH DP FT DW SH RS PA ,CA,2,SE,Valley Springs,,
-120.52,37.978,Acorn - Tuttletown Area - New Melones Lake,BOR,209.536.9094, , ,69, ,FT DW RS ,CA,,,Sonora,,
-117.408,34.576,Adelanto City Park,CP, , , ,21,2887,NH ND NS N$ ,CA,0.5,S ,Adelanto,,
-117.103,32.792,Admiral Baker Military - San Diego NS,MIL,619.487.0090, ,military only - do not use our lat/lon - contact them for directions and info, , ,E DP FT DW SH RS ,CA,6.2,NE,San Diego,,
-119.112,37.804,Aerie Crag RV Camp,NF,760.647.3045/760.873.2400, ,no tents,15,7207,NH ND FT NS NR ,CA,2.6,NW,June Lake,,
-116.384,35.038,Afton Canyon,BLM,760.252.6000,all year,4 wheel drive required,22, ,NH VT NW NR L$ ,CA,23.6,SW,Baker,,
-119.09,37.682,Agnew Meadows,NF,760.924.5500/760.873.2400, , ,21,4902,NH ND 30ft VT DW NS NR ,CA,6.9,W,Mammoth Lakes,,
-116.302,32.95,Agua Caliente,CP,760.765.1188, ,hot springs - res: 877.565.3600,141, ,WE DP 40ft DW SH RS ,CA,23.1,NW,Ocotillo,,
-122.097,41.11,Ah - Di - Na,NF,530.926.4511/530.226.2500, ,No RVs,17,2178,NH ND FT DW NS NR ,CA,11.6,E,Castella,,
-120.406,39.146,Ahart,NF,530.367.2224/530.265.4531, , ,12,5367,NH ND 25ft VT NW NS NR ,CA,23.7,E,Foresthill,,
-123.647,40.226,Aikens Creek,NF,530.627.3291/707.442.1721, , ,15, ,NH DP VT DW NS NR ,CA,,,,,
-120.38,38.985,Airport Flat,NF,530.644.2349/530.622.5061,mid may-mid oct, ,16,5404,NH ND VT DW NS NR N$ ,CA,19.1,NE,Pollock Pines,,
-118.108,36.595,Alabama Hills Rec Area,BLM, , ,dispersed - off Movie Flat Rd - no facil, , ,NH ND NT NW NS NR L$ ,CA,2.6,W,Lone Pine,,
-121.889,37.659,Alameda County Fairgrounds RV,CP, , , , , ,E ,CA,0.8,W,Pleasanton,,
-124.009,40.353,Albee Creek State Park,SP,707.946.2472, , ,40, ,NH ND 33ft FT DW SH NR ,CA,5.1,NW,Weott,,
-118.612,35.72,Alder Creek,NF,760.379.5646/559.784.1500, , ,13,3937,NH ND 20ft VT NW NS NR N$ ,CA,5.2,E,Glennville,,
-121.495,40.21,Alder Creek,NF,530.258.2141/530.257.2151, , ,5,3898,NH ND VT NW NS NR ,CA,,,,,
-121.883,41.256,Algoma,NF,530.926.4511/530.226.2500, , ,10,3848,NH ND 27ft VT NW NS NR N$ ,CA,13.3,E,Mccloud,,
-119.768,34.908,Aliso Park,NF,661.245.3731/805.961.5778, , ,10,2808,NH ND 22ft VT NW NS NR ,CA,,,,,
-121.177,40.217,Almanor,NF,530.258.2141/530.257.2151,early may-late sep, ,103,4633,NH DP 28ft VT DW NS RS ,CA,6.8,SE,Chester,,
-120.121,39.323,Alpine Meadows,COE,530.587.8113, , , ,5842,NH ND VT NS NR ,CA,3.3,E,Truckee,,
-122.766,40.887,Alpine View,NF,530.275.1587/530.226.2500, , ,56,2546,NH ND 32ft FT DW NS NR ,CA,7.5,SW,Trinity Center,,
-115.781,34.557,Amboy Crater,BLM, , ,shade at tables only, , ,NH ND VT NW NS NR N$ ,CA,2.1,W,Amboy,,
-120.266,35.284,American Canyon,NF,805.925.9538/805.961.5778, , ,14,1700,NH ND VT NW NS NR L$ ,CA,22.2,E,San Luis Obisp,,
-121.833,36.283,Andrew Molera State Park,SP,831.667.2315, ,long walk to sites,24, ,NH NR ,CA,1.7,NW,Big Sur,,
-118.177,34.726,Antelope Valley Fairgrounds RV Park,CP,661.206.0427, ,no tents,62,2316,E ND DW SH ,CA,3,NW,Lancaster,,
-122.105,37.759,Anthony Chabot Regional Park,CP,888.327.2757, , , , ,E DP FT DW SH ,CA,9.6,E,Oakland,,
-122.381,40.886,Antlers,NF,530.275.1587/530.226.2500,all year, ,57, ,NH ND 40ft NS RS ,CA,1.3,S ,Lakehead,,
-117.717,34.389,Appletree,NF,661.296.9710/626.574.1613, , ,8,6161,NH ND VT DW NS NR L$ ,CA,1.7,NW,Big Pines,,
-117.493,34.26,Applewhite,NF,909.382.2850/909.382.2600, , ,44,3327,NH ND 30ft FT DW NS NR L$ ,CA,0.4,E,Lytle Creek,,
-122.119,40.765,Arbuckle Flat,NF,530.275.1587/530.226.2500, , ,9, ,NR ,CA,12.1,NE,Bella Vista,,
-121.483,36.235,Arroyo Seco,NF,831.385.5434/805.961.5778,all year, ,40, ,NH ND 26ft FT DW SH RS ,CA,14.6,SW,Greenfield,,
-122.06,41.117,Ash Camp,NF,530.926.4511/530.226.2500, , ,5,2497,NH ND NS NR ,CA,13.5,E,Castella,,
-120.828,41.161,Ash Creek,NF,530.299.3215/530.233.5811,all year, ,7,4895,NH ND 22ft VT NW NS NR N$ ,CA,6.5,E,Adin,,
-119.188,37.939,Aspen,NF,760.647.3045/760.873.2400, , ,52,7526,40ft PT DW NR ,CA,3.9,W,Lee Vining,,
-120.772,40.556,Aspen Grove,NF,530.257.4188/530.257.2151, , ,28,5167,NH ND NS NR ,CA,11.5,NW,Susanville,,
-118.668,36.464,Atwell Mill - Sequoia National Park,NP,559.565.3341, ,Tent only,21,6768,NH DP VT DW NS NR ,CA,25.9,SE,Grant Grove,,
-123.011,38.566,Austin Creek State Rec Area,SRA,707.869.2015, , , , ,20ft FT DW NR ,CA,4.5,N ,Guerneville,,
-118.457,35.652,Auxiliary Dam,NF,760.379.5646/559.784.1500, ,dispersed,250,2638,NH ND FTVT DW NS NR N$ ,CA,2.5,N,Lake Isabella,,
-118.966,36.742,Azalea - Sequoia and Kings Canyon National Park,NP,559.565.3341, ,3 campgrounds,300,6585,NH DP 30ft FT DW SH NR ,CA,0.6,SE,Grant Grove,,
-119.116,37.269,Badger Flat,NF,559.855.5355/559.297.0706, , ,15,8274,NH ND VT NW SH NR ,CA,3.4,E,Lakeshore,,
-120.136,37.61,Bagby Rec Area,COE, , , ,30, ,E ND FT DW SH NR ,CA,7.7,SE,Coulterville,,
-123.4,40.341,Bailey Canyon,NF,707.574.6233/707.442.1721, , ,25, ,NH ND 22ft VT DW NS NR ,CA,9.4,SE,Mad River,,
-122.319,40.8,Bailey Cove,NF,530.275.1587/530.226.2500,all year, ,9, ,NH ND 30ft FT DW NS RS ,CA,7.9,SE,Lakehead,,
-119.752,38.324,Baker,NF,209.965.3434/209.533.3671, , ,44,6319,NH ND 22ft VT DW NS NR ,CA,35.4,NE,Mi-Wuk,,
-118.308,37.169,Baker Creek,CP,760.873.5577, , ,70,4124,NH ND 40ft VT DW NS L$ ,CA,1,W,Big Pine,,
-118.675,36.223,Balch Park,CP,559.624.7000,mid may-mid oct, ,71,6542,40ft FT DW NR ,CA,10.2,NE,Springville,,
-118.888,37.79,Bald Mountain Springs,NF,760.647.3045/760.873.2400, ,dispersed,6,8432,NH ND PT NW NS NR ,CA,,,,,
-119.444,34.883,Ballinger,NF,661.245.3731/805.961.5778, , ,20,3136,NH ND 32ft VT NW NS NR ,CA,12.4,S ,Maricopa,,
-120.141,34.9,Barrel Springs,NF,805.925.9538/805.961.5778, , ,6, ,NH ND VT NW NS NR L$ ,CA,17.1,E,Santa Maria,,
-120.288,37.642,Barrett Cove Rec Area,COE, , , ,275, ,E DP FT DW SH NR ,CA,9.7,E,La Grange,,
-116.874,34.171,Barton Flats,NF,909.382.2790/909.382.2600,early may-late oct, ,52,6417,NH DP FT DW NS RS ,CA,6.4,E,Angelus Oaks,,
-121.063,37.031,Basalt State Rec Area - San Luis Reservoir,SRA,209.826.1197, , ,79, ,NH ND 30ft FT DW SH RS ,CA,16,S ,Gustine,,
-122.959,40.352,Basin Gulch,NF,530.628.5227/530.226.2500, , ,19,2654,NH ND 20ft VT NW NS NR ,CA,3.4,W,Platina,,
-119.907,34.955,Bates Canyon,NF,805.925.9538/805.961.5778, , ,6,2953,NH ND VT NW NS NR L$ ,CA,30,E,Santa Maria,,
-121.627,40.348,Battle Creek,NF,530.258.2141/530.257.2151, , ,50,4885,NH ND 30ft VT DW NS NR ,CA,1.7,W,Mineral,,
-120.099,38.945,Bayview,NF,530.543.2600/530.543.2600, , ,13,6893,NH ND 23ft VT DW NS NR ,CA,6.6,W,South Lake Tahoe,,
-121.385,39.13,Beale AFB Military,MIL,530.634.3382, ,voted best - military only - do not use our lat/lon - contact them for directions and info, , ,RS ,CA,1.7,NW,Beale Afb,,
-121.172,38.719,Beals Point - Folsom Lake State Rec Area,SRA,916.988.0205, , ,69, ,E DP 31ft FT DW SH RS ,CA,2.9,N,Folsom,,
-123.612,41.444,Beans Camp,NF,530.627.3291/707.442.1721, , ,8,3970,35ft VT NW NR ,CA,,,,,
-118.631,34.713,Bear,NF,661.296.9710/626.574.1613, , ,7,5410,NH ND NW NS NR L$ ,CA,10.4,W,Lake Hughes,,
-122.837,39.322,Bear Creek,NF,707.275.2361/530.934.3316, , ,16,2260,NH ND VT NW NS NR N$ ,CA,11.6,N,Upper Lake,,
-120.989,39.084,Bear River County Park,CP,530.886.4901,mid jun-mid oct, ,23,5947,NH ND VT DW NS ,CA,2.2,SW,Colfax,,
-120.235,39.557,Bear Valley,NF,530.994.3401/530.265.4531, , ,31,6644,NH VT DW NR ,CA,7.4,E,Sierraville,,
-120.075,38.21,Beardsley Dam,NF,209.965.3434/209.533.3671, , ,16,3337,NH ND 22ft VT NW NS NR N$ ,CA,,,,,
-122.829,41.927,Beaver Creek,NF,530.493.2243/530.842.6131, , ,8,2280,NH ND NS NR N$ ,CA,4.6,N ,Klamath River,,
-122.405,40.848,Beehive Point,NF, ,mid apr-mid sep,little info, , ,NH ND 30ft NW NS NR L$ ,CA,4.2,S ,Lakehead,,
-118.6,36.142,Belknap,NF,559.539.2607/559.784.1500,mid may-late oct,No RVs,13,5064,NH ND VT NW NS RS ,CA,12.2,E,Springville,,
-116.02,34.002,Belle - Joshua Tree National Park,NP,760.367.5500, , ,18,3858,NH 35ft VT NW NR ,CA,,,,,
-123.785,40.061,Benbow Lake State Rec Area,SRA,707.923.3238,mid may-late dec, ,75, ,NH DP 30ft FT DW SH RS ,CA,2.8,S ,Garberville,,
-121.269,40.395,Benner Creek,NF, , , ,9,5500,20ft VT NW NR N$ ,CA,6.5,N ,Chester,,
-120.643,39.628,Berger Creek,NF,530.288.3231/530.265.4531,early jun-mid oct, ,9,6017,NH 16ft VT NW RS ,CA,,,,,
-121.946,39.718,Bidwell - Sacramento River State Park,SP,530.342.5185, , , , ,NR ,CA,5.8,W,Chico,,
-121.459,39.533,Bidwell Canyon - Lake Oroville State Rec Area,SRA,530.538.2200,all year, ,75, ,E 40ft FT DW RS ,CA,5.4,E,Oroville,,
-123.252,40.738,Big Bar,NF,530.623.2121/530.226.2500, , ,35, ,NH ND 25ft NS NR ,CA,0.1,S ,Big Bar,,
-122.221,37.169,Big Basin Redwoods State Park,SP,831.338.8860,early mar-late dec, ,102, ,NH DP 27ft FT DW SH RS ,CA,6.2,NW,Boulder Creek,,
-116.879,34.235,Big Bear Military,MIL,909.866.3965, ,military only - do not use our lat/lon - contact them for directions and info, ,6996,RS ,CA,2.7,SW,Big Bear,,
-119.202,37.945,Big Bend,NF,760.647.3045/760.873.2400, , ,17,7766,NH ND 30ft VT DW NS NR ,CA,4.6,W,Lee Vining,,
-120.52,39.307,Big Bend - Soda Springs, , , , , ,5810,,CA,7.6,W,Soda Springs,,
-120.174,39.902,Big Cove Family,NF,530.836.2575/530.283.2050,mid may-late aug, ,42,5620,NH DP 50ft FT DW NS RS ,CA,7.5,N ,Chilcoot,,
-123.203,40.739,Big Flat,NF,530.623.2121/530.226.2500, , ,10, ,NH ND 35ft VT DW NS NR L$ ,CA,7.9,W,Junction City,,
-123.908,41.688,Big Flat,NF,707.457.3131/707.442.1721, , ,27, ,NH ND 22ft VT NW NS NR ,CA,15.9,E,Crescent City,,
-124.131,41.164,Big Lagoon County Park,CP, , ,Toilets/shower house sometimes locked - must use port-a-potty,25, ,NH FT DW ,CA,7.3,N,Trinidad,,
-120.106,38.417,Big Meadow,NF,209.795.1381/209.533.3671,early jun-late aug, ,68,6562,NH ND 27ft VT DW NS RS ,CA,17.3,NE,Arnold,,
-118.82,36.721,Big Meadow,NF,559.338.2251/559.784.1500, , ,45,7592,22ft NR ,CA,,,,,
-118.714,37.511,Big Meadows,NF,760.873.2500/760.873.2400,mid jun-mid sep, ,11,8540,NH ND 40ft DW NS NR ,CA,17,SE,Mammoth Lakes,,
-120.425,39.075,Big Meadows,NF,530.333.4312/530.622.5061,mid may-mid oct, ,54,5410,NH ND 40ft FTVT DW NS NR ,CA,21.4,E,Foresthill,,
-120.538,38.004,Big Oak - Glory Hole Area - New Melones Lake,BOR,209.536.9094, , ,55, ,NH ND FT DW SH RS ,CA,,,Angels Camp,,
-118.433,37.126,Big Pine,NF,760.873.2500/760.873.2400,mid may-mid sep, ,30,7759,NH ND 30ft VT DW NS RS PA ,CA,8.4,W,Big Pine,,
-121.466,40.634,Big Pine,NF,530.336.5521/530.257.2151, , ,19,4675,NH DP 22ft VT DW NS RS PA ,CA,3.4,SW,Old Station,,
-117.012,34.32,Big Pine Flat,NF,909.382.2790/909.382.2600, , ,20,2654,NH ND VT NW NS NR ,CA,7.8,NW,Big Bear Lake,,
-118.289,37.173,Big Pine Triangle Park,CP, , , , ,3956,NH ND NS ,CA,0.6,N,Big Pine,,
-120.754,39.144,Big Reservoir,NF,530.367.2224/530.265.4531, , ,19,4144,NH DP 30ft VT DW SH NR ,CA,9.2,N,Foresthill,,
-117.777,34.388,Big Rock,NF,661.296.9710/626.574.1613,mid may-mid nov, ,8,5433,NH ND 20ft VT DW NS NR L$ ,CA,11.1,SE,Pearblossom,,
-120.628,41.579,Big Sage,NF,530.667.2246/530.233.5811,mid may-mid oct, ,11,4888,NH ND 22ft VT NW NS NR N$ ,CA,7.7,NW,Alturas,,
-119.582,37.468,Big Sandy,NF,559.877.2218/559.297.0706, , ,23,5912,NH ND 16ft VT NW NS NR ,CA,10.3,N,Oakhurst,,
-123.497,40.665,Big Slide,NF,530.628.5227/530.226.2500, , ,15, ,NH ND 16ft VT NW NS NR ,CA,4,NW,Hyampom,,
-118.94,37.749,Big Springs,NF,760.647.3045/760.873.2400, , ,26,7329,NH ND 30ft VT NW NS NR N$ ,CA,7.1,N,Mammoth Lakes,,
-118.578,37.265,Big Trees,NF,760.873.2500/760.873.2400,mid may-mid sep, ,16,7470,NH ND 30ft DW NS NR ,CA,12.2,SW,Bishop,,
-119.227,37.238,Billy Creek - Lower,NF,559.855.5355/559.297.0706, , ,11,7011,NH ND NS NR ,CA,3.1,W,Lakeshore,,
-119.227,37.239,Billy Creek - Upper,NF,559.855.5355/559.297.0706, , ,48,7100,NH ND NR ,CA,3,W,Lakeshore,,
-120.332,40.546,Biscar Reservoir,BLM,530.257.0456, ,no facilities, ,4451,NH ND NT NW NS NR N$ ,CA,19.1,NE,Susanville,,
